

,,xiya:LeftElbow1,,,xiya:LeftElbow2,,,xiya:LeftElbow3,,,xiya:LeftHand1,,,xiya:LeftHand2,,,xiya:LeftHand3,,,xiya:RightElbow1,,,xiya:RightElbow2,,,xiya:RightElbow3,,,xiya:RightHand1,,,xiya:RightHand2,,,xiya:RightHand3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
41,0,-190.024,35.9234,1065.12,-125.666,31.5804,1040.19,-220.141,56.1818,964.744,-238.991,63.6589,869.994,-252.189,82.9044,826.832,-221.569,112.203,862.753,290.658,55.8262,1070.49,236.59,16.9128,1054.18,299.134,105.377,960.916,309.491,110.142,871.357,304.451,138.566,829.531,265.68,148.33,875.498
42,0,-189.779,37.2981,1064.92,-125.272,32.6184,1040.39,-219.458,58.1122,964.453,-237.651,66.0019,869.417,-251.022,85.6521,826.817,-220.265,114.6,862.747,290.409,54.8682,1070.31,236.197,16.34,1053.87,299.242,103.148,959.878,309.23,108.904,871.057,304.161,137.337,829.08,265.829,147.268,875.017
43,0,-189.399,38.9167,1064.61,-124.774,33.5541,1040.29,-218.305,60.3531,964.107,-236.593,68.35,869.261,-248.93,88.4627,826.187,-218.292,117.289,862.614,290.207,54.0051,1070.09,235.738,15.7435,1053.65,299.055,102.29,959.74,308.972,107.79,870.717,304.091,135.999,828.762,265.871,146.336,874.703
44,0,-188.994,40.1588,1064.32,-124.312,35.0122,1040.24,-217.61,62.2019,963.935,-235.251,70.9272,868.887,-247.432,91.0557,825.988,-216.744,119.519,862.49,290.097,53.2078,1069.96,235.206,14.9639,1053.63,298.991,101.347,959.556,308.735,106.443,870.363,304.095,134.713,828.464,265.854,145.194,874.443
45,0,-188.552,41.4138,1064.07,-123.979,35.9799,1040.23,-216.644,64.1399,963.679,-233.597,73.1888,868.418,-245.94,93.3982,825.877,-215.157,121.697,862.613,289.877,52.1484,1069.81,234.588,14.0746,1053.57,298.547,100.142,959.389,308.692,105.15,870.06,304.11,133.441,828.215,265.694,144.42,874.396
46,0,-188.244,42.804,1063.82,-123.606,36.4401,1040.13,-215.658,65.8396,963.284,-232.482,75.5042,868.122,-243.879,96.1704,825.228,-212.921,123.987,862.171,289.658,51.0882,1069.66,234.155,13.3526,1053.52,298.787,98.7707,959.089,308.495,103.962,869.798,304.053,131.984,828.004,265.589,143.447,874.294
47,0,-187.954,43.8989,1063.63,-123.255,37.2378,1040.04,-214.896,67.7268,962.783,-231.032,78.1017,867.956,-242.603,98.6251,825.21,-211.564,126.052,862.254,289.401,49.9825,1069.48,233.751,12.7622,1053.34,298.854,97.4583,958.731,308.305,102.651,869.63,304.046,130.75,827.823,265.718,142.069,874.037
48,0,-187.461,45.0155,1063.3,-122.871,38.2737,1039.84,-214.391,69.3905,962.665,-229.8,80.0569,867.513,-240.651,100.865,824.912,-209.615,128.146,862.219,289.05,48.9319,1069.27,233.33,12.1349,1053.13,298.542,96.7877,958.739,308.241,101.323,869.459,304.099,129.656,827.527,265.874,140.679,873.716
49,0,-187.18,46.124,1063.16,-122.606,39.1271,1039.72,-213.311,70.9458,962.379,-228.475,82.3945,867.436,-239.077,103.629,824.446,-207.959,130.123,861.973,288.924,47.932,1069.14,232.837,11.3728,1053,298.262,95.9191,958.719,308.271,99.9483,869.304,304.193,128.423,827.069,265.975,139.461,873.301
50,0,-187.123,47.1959,1063.15,-122.365,39.8481,1039.77,-212.524,72.6233,962.165,-227.371,84.2188,866.953,-237.652,105.743,824.42,-206.216,132.033,861.96,288.682,47.2045,1069.01,232.424,10.7602,1052.88,298.396,94.525,958.453,308.407,98.9256,869.112,304.178,127.198,826.777,265.993,138.55,872.994
51,0,-186.679,48.2464,1062.86,-122.157,40.48,1039.83,-211.738,74.2012,961.979,-226.007,86.5897,866.858,-236.008,107.749,824.275,-204.488,133.8,862.008,288.358,46.3984,1068.85,232.129,10.2009,1052.83,298.239,93.5283,958.198,308.551,97.7571,868.866,304.212,125.914,826.542,266.025,137.78,872.776
52,0,-186.349,49.1155,1062.63,-121.975,40.983,1039.88,-211.009,75.7982,961.782,-225.296,88.3473,867.088,-234.743,110.052,823.96,-203.138,135.685,862.153,288.117,45.6191,1068.69,231.936,9.62857,1052.79,297.936,93.1133,958.296,308.553,96.5802,868.616,304.22,124.861,826.31,266.024,137.028,872.497
53,0,-186.426,50.0615,1062.71,-122.332,42.0412,1039.66,-210.537,77.1332,961.728,-224.143,90.0523,866.527,-233.289,112.053,823.697,-201.432,137.284,862.1,287.979,44.9865,1068.66,231.68,8.98293,1052.72,298.427,91.6569,957.615,308.55,95.621,868.443,304.36,123.616,826.145,266.157,136.139,872.029
54,0,-186.299,51.1263,1062.55,-121.776,42.311,1040.07,-209.846,78.6582,961.538,-223.043,92.2837,866.468,-231.719,113.973,823.466,-199.937,138.945,861.975,287.95,44.3067,1068.61,231.309,8.43708,1052.65,298.314,91.027,957.657,308.593,94.5915,868.356,304.554,122.518,825.929,266.351,135.072,871.491
55,0,-186.005,52.0364,1062.25,-121.47,42.38,1040.14,-209.25,79.8609,961.197,-221.968,93.7105,866.011,-230.301,116.225,823.459,-198.732,140.612,861.842,287.891,43.6995,1068.53,231.092,8.06112,1052.58,298.411,90.3567,957.444,308.432,94.0496,868.046,304.693,121.465,825.677,266.582,134.018,871.046
56,0,-185.835,52.8285,1062.06,-121.607,43.3603,1039.92,-208.696,81.4313,961.009,-221.155,95.7297,866.162,-228.876,118.138,823.076,-196.891,142.228,861.822,287.795,43.1131,1068.32,230.917,7.54391,1052.56,298.543,89.7066,956.947,308.673,93.008,867.84,304.988,120.586,825.486,266.858,133.255,870.931
57,0,-185.909,53.7619,1062.09,-121.202,43.5446,1040.03,-208.097,82.9035,960.808,-220.515,97.1846,866.074,-227.285,119.895,822.56,-195.696,143.652,862.024,287.737,42.6048,1068.18,230.733,7.10139,1052.51,298.491,88.841,957.077,308.934,92.0348,867.713,305.292,119.678,825.287,266.859,132.755,870.906
